Label,Score,Business_ID,Cuisine_Type,Number_of_Reviews,Rating
0,0.00321607,_BL1-CT06HGkiA3jcucu2Q,Chinese,31,2.5
0,0.004306657,24zawWdBJLwm6lsqLDqfHQ,Korean,33,2.5
0,0.004306657,24zawWdBJLwm6lsqLDqfHQ,Korean,33,2.5
0,0.003231776,y8Z9Tos6qtDVd0X0QVm70g,Chinese,34,2.5
0,0.003231776,y8Z9Tos6qtDVd0X0QVm70g,Chinese,34,2.5
0,0.003247562,mbistxggGb_YbNCNwAW1AQ,Chinese,37,2.5
0,0.003247562,mbistxggGb_YbNCNwAW1AQ,Chinese,37,2.5
0,0.003258128,TxaxeiUqQqcFrWrerNqgXw,Chinese,39,2.5
0,0.003258128,TxaxeiUqQqcFrWrerNqgXw,Chinese,39,2.5
0,0.010430035,pD0BuDTrnya7t4S5nm_5Vw,Mexican,46,2.5
0,0.010430035,pD0BuDTrnya7t4S5nm_5Vw,Mexican,46,2.5
0,0.003327649,j9LAlbSiqGlvfAOt8LRRzQ,Chinese,52,2.5
0,0.004441471,XtuJ1t5EI1QHxs7rZOPytA,Korean,52,2.5
0,0.003327649,j9LAlbSiqGlvfAOt8LRRzQ,Chinese,52,2.5
0,0.004441471,XtuJ1t5EI1QHxs7rZOPytA,Korean,52,2.5
0,0.003333056,rHA9M0XOJL6O11xaEiDurA,Chinese,53,2.5
0,0.003333056,aGmsJ6_NWw5vnLS43MZLpA,Chinese,53,2.5
0,0.010548418,9a6I0FhQ-S7wZo4OaLThzw,Mexican,53,2.5
0,0.003333056,rHA9M0XOJL6O11xaEiDurA,Chinese,53,2.5
0,0.003333056,aGmsJ6_NWw5vnLS43MZLpA,Chinese,53,2.5
0,0.010548418,9a6I0FhQ-S7wZo4OaLThzw,Mexican,53,2.5
0,0.003349334,IQ91FltwJmIPhS6fKKf2pw,Chinese,56,2.5
0,0.003349334,IQ91FltwJmIPhS6fKKf2pw,Chinese,56,2.5
0,0.003354776,hQwaJ8ZSI7w-SKreogRkjw,Chinese,57,2.5
0,0.003354776,hQwaJ8ZSI7w-SKreogRkjw,Chinese,57,2.5
1,0.01415837,N_VS-BZjyQC7Ta9XDIFxaw,France,58,2.5
1,0.01415837,N_VS-BZjyQC7Ta9XDIFxaw,France,58,2.5
0,0.003365693,lZy5TNhzgG53zEjK1N1w1w,Chinese,59,2.5
0,0.003365693,lZy5TNhzgG53zEjK1N1w1w,Chinese,59,2.5
0,0.003371161,R9fhVXmtgRwZNgOr-kNWHA,Chinese,60,2.5
0,0.004499482,R9fhVXmtgRwZNgOr-kNWHA,Korean,60,2.5
0,0.003371161,R9fhVXmtgRwZNgOr-kNWHA,Chinese,60,2.5
0,0.004499482,R9fhVXmtgRwZNgOr-kNWHA,Korean,60,2.5
0,0.003382127,dP6SmZ5E5Nj64-3zZMjGSg,Chinese,62,2.5
0,0.003382127,dP6SmZ5E5Nj64-3zZMjGSg,Chinese,62,2.5
0,0.01071984,8b0iC1j499IEmy8a4IVyog,Mexican,63,2.5
0,0.01071984,8b0iC1j499IEmy8a4IVyog,Mexican,63,2.5
0,0.004528773,AAPJkyU0Y7Aci0RZBdJONg,Korean,64,2.5
0,0.004528773,AAPJkyU0Y7Aci0RZBdJONg,Korean,64,2.5
0,0.010911603,OICgilPNwolv00z7d1Y37w,Mexican,74,2.5
0,0.010911603,OICgilPNwolv00z7d1Y37w,Mexican,74,2.5
0,0.004723827,Wt306odjwl9oRhN04IMLNw,Korean,90,2.5
0,0.004723827,Wt306odjwl9oRhN04IMLNw,Korean,90,2.5
0,0.003545201,xd_8cHyPO8sjIV8JMojHnw,Chinese,91,2.5
0,0.003545201,xd_8cHyPO8sjIV8JMojHnw,Chinese,91,2.5
0,0.004739173,o60py9C4coDw1Ucic_rVTw,Korean,92,2.5
0,0.004739173,o60py9C4coDw1Ucic_rVTw,Korean,92,2.5
0,0.004770018,kMZAO0Sc91FrSz7y1JL0XA,Korean,96,2.5
0,0.004770018,kMZAO0Sc91FrSz7y1JL0XA,Korean,96,2.5
0,0.003644411,3rCA4ZFJoxCLosUB8CqlbQ,Chinese,108,2.5
0,0.003644411,3rCA4ZFJoxCLosUB8CqlbQ,Chinese,108,2.5
0,0.003838727,U0EJ4URMoFHJEzAkMp4WWQ,Chinese,140,2.5
0,0.003838727,U0EJ4URMoFHJEzAkMp4WWQ,Chinese,140,2.5
0,0.005156065,lm9LY7UYOhVqS3V9_XRePA,Korean,144,2.5
0,0.005156065,lm9LY7UYOhVqS3V9_XRePA,Korean,144,2.5
1,0.01683672,UHlpmHTR6G10rm5m2zaMcA,France,166,2.5
1,0.01683672,UHlpmHTR6G10rm5m2zaMcA,France,166,2.5
